Year,Prime Rate,Fed Funds Rate,Money M1,Money M2,Gross domestic product,Personal consumption expenditur,Goods,Durable goods,Nondurable goods,Services,Gross private domestic investme,Fixed investment,Nonresidential,Structures,Equipment and software,Residential,Exports,Goods_1,Services_1,Imports,Goods_2,Services_2,Government consumption expendit,Federal,National defense,Nondefense,State and local,Personal income,Less: Contributions for governm,Less: Personal current taxes,Equals: Disposable personal inc,Less: Personal outlays,Personal consumption expendit_1,Equals: Personal saving,"Population (midperiod, thousand"
1969-I ,7.063333333,6.566666667,199.3333333,571.8666667,4243.508214,2650.689251,897.512916,165.855816,811.8195956,1705.837309,513.8105138,492.0494097,266.1817415,252.5751376,113.6145817,272.0574343,136.1386139,85.37079562,52.90322581,199.4626349,137.8384426,66.36716357,1271.659325,632.9757199,515.8707132,123.7387148,631.3116043,3316.551846,189.45416,453.100159,2863.451687,2666.490019,2598.480834,196.9616675,201955
1969-II ,7.743333333,8.326666667,200.9333333,576.9,4253.900462,2667.793444,898.4328624,165.3527464,813.6815062,1726.522548,508.4081633,494.2105796,268.9646168,254.7196002,115.1019276,269.3644489,166.4813442,108.1037145,59.36983164,238.9480843,174.3045649,69.04604762,1266.743649,623.2263091,504.0529741,124.8617038,636.6708163,3351.782446,190.4471368,460.6467358,2891.13571,2684.127953,2613.963218,207.0077573,202419
1969-III ,8.5,8.983333333,201.8333333,580.5666667,4279.823016,2680.697746,899.911946,164.9311877,816.8513406,1740.451887,519.2407359,502.4435964,276.2559438,266.310673,116.872626,267.12837,162.4059234,105.5444222,58.18334031,235.8766599,170.6560284,69.25972396,1268.686185,623.8512272,503.5492458,125.9342685,637.9631787,3391.039134,191.5889858,447.1841574,2943.425405,2691.696379,2620.817045,251.7290262,202986
1969-IV ,8.5,8.94,203.4666667,585.5666667,4261.592635,2702.080528,903.2483206,164.2814496,822.1074689,1761.877828,492.6313097,490.0049562,274.6719763,264.6960027,116.2216049,247.9439537,168.310048,109.1930116,60.13603185,233.0276035,166.3665209,71.46783947,1249.583287,606.7079684,492.7107311,119.7453517,636.6184293,3410.546858,192.1853125,448.0081456,2962.114463,2711.382631,2639.260108,250.7318315,203584
1970-I ,8.463333333,8.573333333,205.6333333,587.7333333,4256.004687,2718.880158,904.6919554,161.8321714,829.3620008,1780.791339,478.2305154,488.0448686,273.0763401,262.7377943,115.8242573,248.185865,169.6431233,111.1369569,58.84096008,232.3258642,166.5960153,70.39111684,1242.766751,595.0532961,479.8208669,120.6098032,642.6174497,3407.816554,192.4847268,437.6935308,2970.123023,2721.985103,2649.594108,248.1379195,204086
1970-II ,8,7.88,207.1666667,591.7,4261.78788,2731.133478,907.3767213,163.7161773,828.6080117,1792.162043,477.9799988,477.2596061,271.6527612,259.9329205,115.420592,231.6148375,177.2137092,113.8923338,65.07863669,237.0014169,168.2964704,73.73046875,1226.791509,576.4411028,457.3058035,123.6088089,646.1150961,3447.877563,190.9987212,435.2130688,3012.664494,2725.96015,2652.94336,286.7043439,204721
1970-III ,7.943333333,6.703333333,209.9,605.0666667,4299.688933,2755.299462,912.7276854,164.309187,834.6656977,1812.54757,486.2776861,485.8429858,273.0931628,261.143629,116.0766106,243.9908201,176.708475,114.3761648,63.56887996,236.3689703,167.752443,74.14227563,1232.274606,567.5008812,449.9221588,121.9512195,660.2098467,3470.857891,191.1427636,412.1643746,3059.102816,2754.584152,2681.319581,304.518664,205419
1970-IV ,7.233333333,5.566666667,213.6666667,621.3333333,4254.708593,2747.768321,902.9434047,153.3623779,844.5885107,1821.591214,458.4500754,486.2767548,262.9334503,258.1461563,110.0216436,269.557925,178.3941606,115.8192811,63.62199619,240.2389942,172.2888656,72.75355336,1232.070994,564.8055833,446.6895738,122.372723,663.9881582,3460.108318,187.939536,410.2336109,3049.874707,2748.363107,2674.803977,301.5115997,206130
1971-I ,5.87,3.856666667,217.2333333,641.3,4372.287478,2800.148069,931.9786753,169.9289797,847.8964401,1833.800285,518.3055976,496.9681815,265.2825836,257.2526655,111.8343099,283.5803478,179.0324869,113.6673188,67.96001422,237.5748745,171.6500554,70.49067035,1212.425353,542.5163524,425.9213455,120.8786252,666.7012018,3484.770058,201.0750547,391.399562,3092.972327,2784.789966,2710.730639,308.1823611,206763
1971-II ,5.413333333,4.563333333,221.8333333,666.0333333,4395.898,2825.945506,939.5045344,173.7186103,849.8220641,1852.141702,533.2219969,517.3157506,269.2371614,256.3791745,114.5771136,312.2319437,178.591645,113.3235797,67.89713974,255.3139999,187.9535271,71.75414053,1208.612534,535.0744861,409.4900781,128.403124,671.3528932,3529.134415,200.3850536,395.662253,3133.07925,2804.997839,2730.344584,328.0814113,207362
1971-III ,5.97,5.473333333,225.6666667,685.8666667,4431.433573,2848.340851,945.6635319,178.2420575,848.0914415,1869.726281,540.9231677,527.3253159,270.1494293,255.5588497,115.5761884,327.2523155,185.9592255,121.318461,65.1227313,260.987369,194.5708458,70.14739833,1207.60035,532.7945002,401.2036108,133.3740139,672.8351604,3544.446606,199.5720677,397.9770473,3146.469558,2827.854503,2751.604746,318.6150554,208000
1971-IV ,5.64,4.75,227.7666667,704.4333333,4444.015593,2895.505663,962.16068,185.9199834,853.9278578,1899.179367,524.06855,541.5271367,275.9911122,255.2298817,119.6677687,340.0044228,170.4015599,105.1058531,69.30882635,243.0214754,177.2279532,70.1784786,1198.639977,516.3401664,389.7373813,128.4095316,681.9541376,3581.380987,200.3164923,407.1944112,3174.572542,2870.431124,2792.465938,304.141418,208642
1972-I ,4.893333333,3.54,232.2333333,725.6333333,4519.424297,2934.141222,970.9554832,190.1702427,856.5087731,1931.531713,558.4783488,565.9196567,285.1856135,261.7591587,124.3510031,363.0417007,188.2856672,122.0980224,67.63527054,278.7321932,208.4594431,74.59756576,1202.85423,518.2266863,384.2951667,135.7888483,683.7397977,3630.805453,220.6357042,454.9424676,3176.242737,2891.808757,2813.579919,284.4339802,209142
1972-II ,5.003333333,4.3,236.0333333,743.8333333,4627.350298,2990.116943,996.8341586,195.0127331,879.778585,1955.19552,592.9988801,575.9208812,289.9915046,263.0687592,127.1558257,370.1090791,183.0065359,119.2595664,64.8223584,268.6836758,198.6122839,74.6139912,1210.661529,526.5418313,390.3159908,138.1343441,682.5427495,3671.751114,222.0040776,465.9065167,3205.844597,2947.217398,2867.175111,258.6271993,209637
1972-III ,5.34,4.74,240.9666667,768.8333333,4674.124514,3036.181258,1014.177541,199.9727928,891.9447207,1982.075659,603.5634111,582.2680896,294.5605549,263.5684832,130.1967276,371.5368601,193.9719487,126.0831467,68.76469144,274.4241167,207.1283979,71.1773927,1185.480582,497.9111604,362.3500992,137.1524148,688.1802196,3735.40856,222.6129901,465.0553726,3270.353188,2991.245136,2910.431009,279.482191,210181
1972-IV ,5.756666667,5.143333333,246.8666667,794.3666667,4757.960135,3107.626791,1043.972161,210.5119501,908.936805,2017.268446,611.7475701,609.5551895,309.9121991,267.8473817,139.7218323,384.8145846,201.8781834,134.4983543,67.10009387,286.9565217,217.0295628,73.91196631,1193.194438,496.5895858,362.2093511,135.9789664,697.7831821,3858.95492,223.3645205,470.026996,3388.927924,3049.443438,2968.455309,339.4844865,210737
1973-I ,6.106666667,6.536666667,251.8,813.2333333,4873.69497,3164.760338,1069.028871,223.9135605,914.492465,2043.397879,645.6181273,635.3203789,324.2866145,276.3115372,147.383467,398.1599796,216.7014937,146.6102081,68.60343017,300.5772209,228.45953,76.11146907,1204.876987,504.7073271,368.9914784,137.372598,701.0648508,3885.522377,268.671972,461.4149084,3424.107469,3101.044024,3020.004381,323.0634445,211192
1973-II ,7.036666667,7.816666667,254.7666667,826.6,4924.419231,3163.326578,1058.802401,221.3232196,906.7182214,2060.542198,671.2325029,640.6975109,337.5873932,285.2924115,154.1316725,378.0925778,226.9023752,153.569572,71.69192954,292.0160527,222.4976956,72.92958911,1197.399932,497.0972424,362.3953847,135.9130157,702.1943574,3930.9181,268.2129906,463.8971671,3467.020933,3107.967398,3026.462246,359.0535349,211663
1973-III ,9.13,10.56,257.7,838.2,4899.763943,3174.965906,1059.190815,219.3968265,910.9477124,2074.290288,646.351243,639.0832461,343.3269916,291.4315033,156.2109863,361.7945007,227.787243,153.4963047,73.00965719,283.7210751,219.1755837,67.68068963,1182.085786,475.7385218,340.8865431,136.3672401,709.4639312,3954.127471,268.1182398,472.4659127,3481.661558,3116.302012,3034.915266,365.3595462,212191
1973-IV ,9.813333333,9.996666667,260.9666667,849,4959.645294,3165.860001,1048.937271,214.349011,907.5666118,2082.255083,681.1931458,632.9079481,346.1113877,288.9912852,159.1008157,344.6641066,238.9889612,162.4832343,74.19701259,285.8963589,220.7653947,68.27695052,1190.976948,475.9874414,343.3359314,134.1892571,718.0885599,4020.575704,268.8004434,484.9492535,3535.972843,3121.687623,3036.128719,413.9388271,212708
1974-I ,9.263333333,9.323333333,265.2666667,864.6666667,4909.214322,3138.307201,1031.917162,209.5219196,895.5440234,2079.14516,632.8424764,618.2896213,345.8838545,287.748732,159.3061877,319.9035653,242.3021822,165.6848962,73.92158697,275.7568939,209.9489313,69.76442339,1215.665712,491.1959054,351.0719755,141.3210445,727.4258051,3997.284914,282.0295266,484.6427965,3512.642118,3116.578992,3036.483964,396.0631257,213144
1974-II ,10.93666667,11.25,267.7666667,875.1,4928.79668,3149.026162,1028.75751,210.6383665,889.4358515,2099.2569,634.940608,609.733939,345.2044625,286.4619842,159.2017406,305.8034703,254.3359563,172.5024864,79.76772616,290.2386506,222.0506292,71.81216436,1223.577395,490.2217403,356.8071587,134.9688677,737.0907314,3997.012448,281.1618257,494.2738589,3502.738589,3144.564315,3064.564315,357.8423237,213602
1974-III ,11.99,12.09,270.1333333,884.4666667,4873.000032,3161.845295,1032.005516,211.7643403,891.4581066,2109.449295,593.5421454,599.0760395,341.2125408,274.1438586,160.2550233,295.7697034,240.5746427,163.0312208,75.68533969,285.0315754,218.1717758,70.28910213,1225.542242,492.6875181,348.1035608,145.7619707,736.0346184,3998.004056,278.1444162,498.6640054,3499.340051,3144.899076,3064.739401,354.4409748,214147
1974-IV ,11.00333333,9.346666667,273.4,898,4849.166198,3115.1417,989.9513776,191.4819892,875.327355,2130.863258,595.7565736,564.8199247,331.7320422,270.7681762,154.2929501,256.2897783,246.9760798,165.6258072,80.93841642,282.4006119,214.4398404,72.22899266,1229.905307,496.3427377,348.288282,149.5972382,736.5482428,3956.967085,270.4390731,492.1616389,3465.117732,3083.817376,3003.560052,381.300356,214700
1975-I ,8.98,6.303333333,275.1,915.1333333,4790.598291,3141.013415,996.7201942,195.4996514,876.8681046,2150.684365,491.8253986,529.8765089,311.2089832,256.8158169,143.9919902,240.3766039,248.6809708,164.848913,84.84637883,254.2079661,189.4978027,70.46595613,1244.696915,490.6303237,345.4189963,146.7199783,758.2689567,3919.108669,267.3992674,482.2954823,3436.813187,3098.290598,3016.178266,338.5225885,215135
1975-II ,7.323333333,5.42,279.2666667,948.6666667,4828.955682,3192.865666,1017.669189,199.1869326,896.0731828,2177.343909,476.5044617,522.0638153,302.9443065,246.9236744,141.1385689,245.2204528,241.2911191,157.1193306,88.04171297,233.8563976,173.5190721,66.30535055,1235.256727,486.8133714,340.1614325,148.0792855,752.5894366,3953.425399,264.7651713,364.3529801,3589.373289,3141.077715,3059.241207,448.2955742,215652
1975-III ,7.563333333,6.16,284.5,983.2333333,4910.062912,3238.294856,1042.872254,211.5822548,905.0003813,2188.011661,516.5634843,534.9794239,305.7900452,248.3792545,142.7311665,261.9945654,237.2401592,160.1423488,75.76182726,253.5088448,191.5582527,66.32507828,1257.07539,498.7966901,352.980353,147.3745852,762.2182831,3992.379715,265.2331866,451.3099211,3540.774434,3185.456479,3103.051068,355.3179549,216289
